filename,class
all_images\0_rabbit_1-345_jpg.rf.414b7b5768000a12fe8cb00cb828eb78.jpg,rabbit
all_images\1_rabbit_1-42_jpg.rf.22954d3ffecda0339d1b126d76624fce.jpg,rabbit
all_images\2_rabbit_1-476_jpg.rf.2516195a31a1c86cc02ab8df819f7f89.jpg,rabbit
all_images\3_rabbit_1-228_jpg.rf.d16fdb45150284fe6fff6967b40f1650.jpg,rabbit
all_images\4_rabbit_1-58_jpg.rf.889ba579a6c472fac4722ed1e232d37f.jpg,rabbit
all_images\5_rabbit_1-427_jpg.rf.f0627f58c0c1b6c7b13ea586551b1d55.jpg,rabbit
all_images\6_rabbit_1-39_jpg.rf.97104ea04daacb55e250e70cc4cc613e.jpg,rabbit
all_images\7_rabbit_1-53_jpg.rf.ca957574b608880f478f056047e78430.jpg,rabbit
all_images\8_rabbit_1-11_jpg.rf.e5b064a45d7d2de86ff9caba2c730bcf.jpg,rabbit
all_images\9_rabbit_1-472_jpg.rf.0a07e212987ceda7a11d7a27117809c2.jpg,rabbit
all_images\10_rabbit_1-347_jpg.rf.115168538ac218d2f6905e9164bdbeb5.jpg,rabbit
all_images\11_rabbit_1-341_jpg.rf.2224a00982627b4e5270ae9c4dfd17d3.jpg,rabbit
all_images\12_rabbit_1-426_jpg.rf.939feb661449609a592320f5662e8415.jpg,rabbit
all_images\13_rabbit_1-148_jpg.rf.87bad69b7be3f50f6b2efb884073ae2f.jpg,rabbit
all_images\14_rabbit_1-439_jpg.rf.091c1a7f34913a24c6342ea592de1558.jpg,rabbit
all_images\15_rabbit_1-57_jpg.rf.754a93abafd6956746ccd8e63b839e79.jpg,rabbit
all_images\16_rabbit_1-479_jpg.rf.0ca80e498d75b17e98a060e3e489e39c.jpg,rabbit
all_images\17_rabbit_1-38_jpg.rf.3bbdf08e606d08039fb511943221ecfb.jpg,rabbit
all_images\18_rabbit_1-236_jpg.rf.76eed6a76b9abae477e1a60d1973d111.jpg,rabbit
all_images\19_rabbit_1-471_jpg.rf.d69ab0f5a0654f2e31e4bf58cf241d60.jpg,rabbit
all_images\20_rabbit_1-250_jpg.rf.127f8533a9586c68179cacfd8438c158.jpg,rabbit
all_images\21_rabbit_1-475_jpg.rf.43950284670c830e1a3611708c29e22b.jpg,rabbit
